,Name,Users
0,south andaman,5846
1,north and middle andaman,632
2,nicobars,262
3,744103,1608
4,744101,1108
5,744105,1075
6,744102,1006
7,744104,272
8,744202,237
9,744112,215
10,744301,207
11,744107,196
12,744211,156
13,south andaman,8143
14,north and middle andaman,911
15,nicobars,351
16,744103,2188
17,744101,1521
18,744105,1492
19,744102,1419
20,744104,396
21,744202,343
22,744112,299
23,744107,293
24,744301,273
25,744211,240
26,south andaman,10474
27,north and middle andaman,1208
28,nicobars,467
29,744103,2741
30,744101,1978
31,744105,1935
32,744102,1803
33,744104,507
34,744202,446
35,744112,388
36,744107,384
37,744301,372
38,744211,327
39,south andaman,13133
40,north and middle andaman,1553
41,nicobars,536
42,744103,3373
43,744101,2498
44,744105,2416
45,744102,2231
46,744104,634
47,744202,554
48,744107,548
49,744112,496
50,744211,433
51,744301,425
52,south andaman,15961
53,north and middle andaman,2013
54,nicobars,622
55,744103,4136
56,744101,3030
57,744105,2994
58,744102,2667
59,744104,756
60,744202,753
61,744107,667
62,744112,585
63,744211,524
64,744301,488
65,south andaman,18621
66,north and middle andaman,2417
67,nicobars,693
68,744103,4748
69,744101,3631
70,744105,3547
71,744102,3008
72,744202,885
73,744104,878
74,744107,787
75,744112,672
76,744211,633
77,744301,534
78,south andaman,20518
79,north and middle andaman,2662
80,nicobars,751
81,744103,5218
82,744101,4026
83,744105,3920
84,744102,3250
85,744202,982
86,744104,975
87,744107,885
88,744112,765
89,744211,701
90,744301,575
91,south andaman,22202
92,north and middle andaman,2955
93,nicobars,803
94,744103,5637
95,744101,4321
96,744105,4277
97,744102,3485
98,744202,1087
99,744104,1062
100,744107,953
101,744112,812
102,744211,783
103,744301,611
104,south andaman,24174
105,north and middle andaman,3315
106,nicobars,879
107,744103,6108
108,744101,4689
109,744105,4684
110,744102,3727
111,744202,1216
112,744104,1154
113,744107,1062
114,744112,889
115,744211,886
116,744301,669
117,south andaman,27626
118,north and middle andaman,4100
119,nicobars,984
120,744103,6804
121,744105,5479
122,744101,5365
123,744102,4066
124,744202,1475
125,744104,1333
126,744107,1252
127,744112,1039
128,744211,1036
129,744205,806
130,south andaman,34833
131,north and middle andaman,5355
132,nicobars,1147
133,744103,8318
134,744105,7007
135,744101,6881
136,744102,4919
137,744202,1965
138,744104,1718
139,744107,1710
140,744112,1372
141,744211,1279
142,744205,1008
143,south andaman,43908
144,north and middle andaman,7076
145,nicobars,1412
146,744103,10408
147,744105,8962
148,744101,8593
149,744102,5882
150,744202,2711
151,744107,2346
152,744104,2167
153,744112,1761
154,744211,1579
155,744205,1346
156,south andaman,48352
157,north and middle andaman,7833
158,nicobars,1573
159,744103,11416
160,744105,9934
161,744101,9457
162,744102,6395
163,744202,3005
164,744107,2586
165,744104,2383
166,744112,1940
167,744211,1774
168,744205,1505
169,south andaman,51903
170,north and middle andaman,8493
171,nicobars,1699
172,744103,12268
173,744105,10668
174,744101,10120
175,744102,6837
176,744202,3261
177,744107,2783
178,744104,2573
179,744112,2083
180,744211,1904
181,744205,1626
182,south andaman,55873
183,north and middle andaman,9263
184,nicobars,1846
185,744103,13198
186,744105,11480
187,744101,10866
188,744102,7313
189,744202,3543
190,744107,3027
191,744104,2777
192,744112,2250
193,744211,2055
194,744205,1771
195,south andaman,59807
196,north and middle andaman,10002
197,nicobars,1971
198,744103,14127
199,744105,12300
200,744101,11623
201,744102,7813
202,744202,3815
203,744107,3247
204,744104,2962
205,744112,2411
206,744211,2200
207,744205,1902
208,south andaman,63487
209,north and middle andaman,10720
210,nicobars,2081
211,744103,15011
212,744105,13070
213,744101,12300
214,744102,8271
215,744202,4107
216,744107,3455
217,744104,3146
218,744112,2552
219,744211,2344
220,744205,2034
221,south andaman,66959
222,north and middle andaman,11379
223,nicobars,2192
224,744103,15799
225,744105,13791
226,744101,12947
227,744102,8709
228,744202,4361
229,744107,3674
230,744104,3319
231,744112,2700
232,744211,2471
233,744205,2162
234,south andaman,70445
235,north and middle andaman,11897
236,nicobars,2300
237,744103,16666
238,744105,14503
239,744101,13649
240,744102,9148
241,744202,4572
242,744107,3868
243,744104,3493
244,744112,2837
245,744211,2577
246,744205,2268
247,south andaman,73692
248,north and middle andaman,12361
249,nicobars,2389
250,744103,17406
251,744105,15185
252,744101,14337
253,744102,9591
254,744202,4760
255,744107,4051
256,744104,3647
257,744112,2975
258,744211,2679
259,744205,2358
260,south andaman,77052
261,north and middle andaman,12941
262,nicobars,2491
263,744103,18209
264,744105,15848
265,744101,15006
266,744102,10033
267,744202,4993
268,744107,4239
269,744104,3795
270,744112,3141
271,744211,2792
272,744205,2480
273,south andaman,80112
274,north and middle andaman,13600
275,nicobars,2617
276,744103,18944
277,744105,16488
278,744101,15562
279,744102,10387
280,744202,5239
281,744107,4425
282,744104,3937
283,744112,3261
284,744211,2917
285,744205,2605
286,south andaman,83305
287,north and middle andaman,14216
288,nicobars,2734
289,744103,19673
290,744105,17171
291,744101,16188
292,744102,10799
293,744202,5480
294,744107,4591
295,744104,4082
296,744112,3382
297,744211,3033
298,744205,2716
299,visakhapatnam,497187
300,east godavari,350356
301,krishna,323673
302,guntur,317065
303,chittoor,309541
304,anantapur,241192
305,kurnool,240133
306,west godavari,213335
307,spsr nellore,194475
308,prakasam,189949
309,517501,39884
310,530016,34201
311,517507,34111
312,515001,31964
313,516001,29078
314,518002,29043
315,530026,26889
316,516360,26187
317,520010,24397
318,524002,23439
319,visakhapatnam,636052
320,east godavari,454398
321,krishna,431965
322,guntur,420326
323,chittoor,414306
324,anantapur,326383
325,kurnool,319313
326,west godavari,282393
327,spsr nellore,261049
328,prakasam,253458
329,517501,53468
330,517507,45241
331,530016,43386
332,515001,42466
333,516001,38402
334,518002,37593
335,516360,34544
336,530026,34126
337,520010,31871
338,524002,31134
339,visakhapatnam,769096
340,east godavari,558982
341,krishna,537086
342,guntur,518931
343,chittoor,515727
344,anantapur,405855
345,kurnool,394311
346,west godavari,349782
347,spsr nellore,322446
348,prakasam,314899
349,517501,65157
350,517507,54849
351,530016,52259
352,515001,51449
353,516001,46691
354,518002,45145
355,516360,41963
356,530026,40580
357,520010,38918
358,524002,37559
359,visakhapatnam,978288
360,east godavari,694455
361,krishna,682479
362,chittoor,665280
363,guntur,659552
364,anantapur,510892
365,kurnool,498582
366,west godavari,435668
367,spsr nellore,407495
368,prakasam,394962
369,517501,82873
370,517507,70421
371,530016,65549
372,515001,63576
373,516001,58028
374,518002,55735
375,516360,52058
376,530026,51900
377,520010,48991
378,524002,46616
379,visakhapatnam,1174517
380,east godavari,839277
381,krishna,833694
382,chittoor,812314
383,guntur,802394
384,anantapur,612162
385,kurnool,599422
386,west godavari,523372
387,spsr nellore,491908
388,prakasam,474260
389,517501,100561
390,517507,85980
391,530016,77790
392,515001,75171
393,516001,68514
394,518002,66689
395,530026,61623
396,516360,60798
397,520010,59055
398,524002,55931
399,visakhapatnam,1318740
400,krishna,952300
401,east godavari,945181
402,chittoor,925491
403,guntur,915256
404,anantapur,695114
405,kurnool,680118
406,west godavari,592185
407,spsr nellore,558303
408,prakasam,539462
409,517501,113033
410,517507,97534
